# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 05:01:23 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [percent]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [percent]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_occdep:      Occultation Depth [percentage]
# COLUMN pl_occdeperr1:  Occultation Depth Upper Unc. [percentage]
# COLUMN pl_occdeperr2:  Occultation Depth Lower Unc. [percentage]
# COLUMN pl_occdeplim:   Occultation Depth Limit Flag
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type Unc.
# COLUMN st_splim:       Spectral Type Limit Flag
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_pelink,st_sp,st_spstr,st_sperr,st_splim,st_vj,st_vjerr,st_vjlim
1922,Kepler-162,c,2,19.44635500,0.00004500,-0.00004500,0,0.137000,,,0,,,,,,,,,,,,,0.270,0.145,-0.145,0,,,,,19h49m06.94s,297.278910,+43d43m26.5s,43.724018,,,,,14.248,,0,Kepler-band,,,,5816.00,200.00,-200.00,0,,,,,0.96,0.51,-0.51,0,2014-05-14,,,,,3.030,1.630,-1.630,0,,,,,0.1470000,0.0026000,-0.0026000,0,2455003.101940,0.001310,-0.001310,0,,,,,http://exoplanet.eu/catalog/kepler-162_c/,,,,,,,
1923,Kepler-1620,b,1,101.95182900,0.00157200,-0.00157200,0,,,,,,,,,,,,,,,,,0.144,0.057,-0.024,0,,,,,19h49m05.01s,297.270876,+46d55m42.3s,46.928417,773.00,295.96,-120.00,0,13.658,,0,Kepler-band,,,,6157.00,120.80,-167.55,0,1.15,0.16,-0.10,0,1.23,0.48,-0.18,0,2016-05-10,,,,,1.610,0.640,-0.270,0,,,,,0.2495400,0.0159600,-0.0159600,0,2455039.350700,0.012800,-0.012800,0,,,,,http://exoplanet.eu/catalog/kepler-1620_b/,,,,,,,
1924,Kepler-1621,b,1,92.26371400,0.00238500,-0.00238500,0,,,,,,,,,,,,,,,,,0.193,0.071,-0.033,0,,,,,19h50m21.24s,297.588518,+43d50m28.4s,43.841221,1461.00,556.57,-249.39,0,15.015,,0,Kepler-band,,,,6158.00,276.88,-219.74,0,1.15,0.20,-0.11,0,1.24,0.46,-0.20,0,2016-05-10,,,,,2.160,0.800,-0.370,0,,,,,0.4109200,0.0286700,-0.0286700,0,2454979.424000,0.023600,-0.023600,0,,,,,http://exoplanet.eu/catalog/kepler-1621_b/,,,,,,,
1925,Kepler-1622,b,1,10.81187370,0.00010090,-0.00010090,0,,,,,,,,,,,,,,,,,0.131,0.061,-0.024,0,,,,,19h49m18.94s,297.328910,+47d48m55.7s,47.815472,927.00,412.54,-159.49,0,13.385,,0,Kepler-band,,,,6436.00,154.47,-172.76,0,1.31,0.22,-0.13,0,1.50,0.69,-0.26,0,2016-05-10,,,,,1.470,0.680,-0.270,0,,,,,0.1087900,0.0075800,-0.0075800,0,2454970.132300,0.006180,-0.006180,0,,,,,http://exoplanet.eu/catalog/kepler-1622_b/,,,,,,,
1926,Kepler-1623,b,1,4.36128348,0.00002698,-0.00002698,0,,,,,,,,,,,,,,,,,0.117,0.028,-0.016,0,,,,,19h36m19.85s,294.082695,+39d33m22.0s,39.556103,986.00,231.76,-112.28,0,14.951,,0,Kepler-band,,,,5772.00,140.28,-187.15,0,1.00,0.07,-0.07,0,1.00,0.23,-0.11,0,2016-05-10,,,,,1.310,0.310,-0.180,0,,,,,0.0857500,0.0063700,-0.0063700,0,2454965.527170,0.005470,-0.005470,0,,,,,http://exoplanet.eu/catalog/kepler-1623_b/,,,,,,,
1927,Kepler-1624,b,1,3.29030452,0.00000456,-0.00000456,0,,,,,,,,,,,,,,,,,0.509,0.035,-0.041,0,,,,,19h30m19.17s,292.579860,+37d22m35.1s,37.376411,199.00,18.63,-20.75,0,15.669,,0,Kepler-band,,,,3636.00,58.98,-53.35,0,0.50,0.03,-0.04,0,0.47,0.03,-0.04,0,2016-05-10,,,,,5.700,0.390,-0.460,0,,,,,0.0729380,0.0004750,-0.0004750,0,2454964.909250,0.001830,-0.001830,0,,,,,http://exoplanet.eu/catalog/kepler-1624_b/,,,,,,,
1928,Kepler-1625,b,1,287.37894900,0.00298300,-0.00298300,0,,,,,,,,,,,,,,,,,0.541,0.078,-0.047,0,,,,,19h41m43.04s,295.429347,+39d53m11.6s,39.886547,1213.00,178.13,-113.19,0,15.756,,0,Kepler-band,,,,5677.00,107.40,-162.14,0,0.96,0.06,-0.06,0,0.94,0.13,-0.08,0,2016-05-10,,,,,6.060,0.870,-0.530,0,,,,,0.7869200,0.0084200,-0.0084200,0,2455181.829810,0.008330,-0.008330,0,,,,,http://exoplanet.eu/catalog/kepler-1625_b/,,,,,,,
1929,Kepler-1626,b,1,4.13962966,0.00002851,-0.00002851,0,,,,,,,,,,,,,,,,,0.180,0.059,-0.038,0,,,,,19h46m00.11s,296.500445,+40d43m16.4s,40.721230,1718.00,551.12,-369.50,0,14.275,,0,Kepler-band,,,,6826.00,286.40,-316.80,0,1.51,0.21,-0.20,0,1.85,0.60,-0.39,0,2016-05-10,,,,,2.020,0.660,-0.430,0,,,,,0.1368300,0.0053800,-0.0053800,0,2454967.041650,0.005400,-0.005400,0,,,,,http://exoplanet.eu/catalog/kepler-1626_b/,,,,,,,
1930,Kepler-1627,b,1,7.20283653,0.00008773,-0.00008773,0,,,,,,,,,,,,,,,,,0.329,0.044,-0.037,0,,,,,18h56m13.60s,284.056684,+41d34m36.2s,41.576733,311.00,33.55,-25.37,0,13.028,,0,Kepler-band,,,,5445.00,93.89,-121.15,0,0.87,0.05,-0.06,0,0.84,0.09,-0.07,0,2016-05-10,,,,,3.690,0.490,-0.410,0,,,,,0.1202500,0.0132100,-0.0132100,0,2454968.193760,0.008860,-0.008860,0,,,,,http://exoplanet.eu/catalog/kepler-1627_b/,,,,,,,
1931,Kepler-1628,b,1,76.37803300,0.00183300,-0.00183300,0,,,,,,,,,,,,,,,,,0.574,0.084,-0.045,0,,,,,18h46m32.09s,281.633700,+43d24m41.7s,43.411579,352.00,41.23,-27.30,0,16.595,,0,Kepler-band,,,,3724.00,65.64,-48.58,0,0.55,0.04,-0.03,0,0.52,0.04,-0.03,0,2016-05-10,,,,,6.430,0.940,-0.510,0,,,,,0.2063300,0.0066200,-0.0066200,0,2454979.345800,0.031800,-0.031800,0,,,,,http://exoplanet.eu/catalog/kepler-1628_b/,,,,,,,
1932,Kepler-1629,b,1,3.87595807,0.00002379,-0.00002379,0,,,,,,,,,,,,,,,,,0.069,0.013,-0.007,0,,,,,18h40m49.59s,280.206621,+43d46m27.5s,43.774297,390.00,71.67,-33.62,0,12.750,,0,Kepler-band,,,,5776.00,68.39,-74.65,0,1.01,0.05,-0.05,0,1.01,0.19,-0.08,0,2016-05-10,,,,,0.770,0.150,-0.080,0,,,,,0.0927500,0.0072900,-0.0072900,0,2454967.844480,0.005430,-0.005430,0,,,,,http://exoplanet.eu/catalog/kepler-1629_b/,,,,,,,
1933,Kepler-163,b,2,7.81093700,0.00010700,-0.00010700,0,0.078000,,,0,,,,,,,,,,,,,0.094,0.039,-0.039,0,,,,,19h40m00.68s,295.002819,+46d59m14.4s,46.987328,,,,,14.415,,0,Kepler-band,,,,5776.00,200.00,-200.00,0,0.96,,,0,0.92,0.38,-0.38,0,2014-05-14,,,,,1.050,0.440,-0.440,0,,,,,0.1400000,0.0073000,-0.0073000,0,2454965.304300,0.006740,-0.006740,0,,,,,http://exoplanet.eu/catalog/kepler-163_b/,,,,,,,
1934,Kepler-163,c,2,21.34726200,0.00008100,-0.00008100,0,0.152000,,,0,,,,,,,,,,,,,0.202,0.084,-0.084,0,,,,,19h40m00.68s,295.002819,+46d59m14.4s,46.987328,,,,,14.415,,0,Kepler-band,,,,5776.00,200.00,-200.00,0,0.96,,,0,0.92,0.38,-0.38,0,2014-05-14,,,,,2.260,0.940,-0.940,0,,,,,0.1569000,0.0033000,-0.0033000,0,2455004.735900,0.002250,-0.002250,0,,,,,http://exoplanet.eu/catalog/kepler-163_c/,,,,,,,
1935,Kepler-1630,b,1,509.99740200,0.00325600,-0.00325600,0,,,,,,,,,,,,,,,,,0.195,0.018,-0.009,0,,,,,19h50m01.99s,297.508294,+43d42m39.4s,43.710953,278.00,24.77,-12.17,0,14.150,,0,Kepler-band,,,,4736.00,97.30,-64.28,0,0.66,0.05,-0.03,0,0.63,0.05,-0.02,0,2016-05-10,,,,,2.190,0.200,-0.100,0,,,,,0.3533700,0.0068800,-0.0068800,0,2455109.731220,0.003910,-0.003910,0,,,,,http://exoplanet.eu/catalog/kepler-1630_b/,,,,,,,
1936,Kepler-1631,b,1,4.09513932,0.00003048,-0.00003048,0,,,,,,,,,,,,,,,,,0.120,0.018,-0.013,0,,,,,19h38m31.82s,294.632570,+43d48m27.6s,43.807671,1190.00,166.29,-107.49,0,15.524,,0,Kepler-band,,,,5679.00,101.54,-148.91,0,0.97,0.05,-0.06,0,0.95,0.13,-0.08,0,2016-05-10,,,,,1.350,0.200,-0.150,0,,,,,0.0803800,0.0072100,-0.0072100,0,2454964.676530,0.006570,-0.006570,0,,,,,http://exoplanet.eu/catalog/kepler-1631_b/,,,,,,,
1937,Kepler-1632,b,1,448.30355800,0.00416400,-0.00416400,0,,,,,,,,,,,,,,,,,0.220,0.075,-0.031,0,,,,,19h37m58.77s,294.494859,+43d54m49.0s,43.913620,584.00,198.11,-88.40,0,13.093,,0,Kepler-band,,,,6137.00,159.61,-176.47,0,1.12,0.14,-0.10,0,1.19,0.40,-0.17,0,2016-05-10,,,,,2.470,0.840,-0.350,0,,,,,0.5297100,0.0074600,-0.0074600,0,2455398.175930,0.005350,-0.005350,0,,,,,http://exoplanet.eu/catalog/kepler-1632_b/,,,,,,,
1938,Kepler-1633,b,1,186.40427100,0.00588600,-0.00588600,0,,,,,,,,,,,,,,,,,0.141,0.058,-0.022,0,,,,,19h14m03.65s,288.515202,+44d55m23.6s,44.923225,811.00,325.02,-119.04,0,13.435,,0,Kepler-band,,,,6256.00,119.67,-118.36,0,1.20,0.17,-0.09,0,1.32,0.54,-0.18,0,2016-05-10,,,,,1.580,0.650,-0.250,0,,,,,0.4358000,0.0382000,-0.0382000,0,2455049.221100,0.026800,-0.026800,0,,,,,http://exoplanet.eu/catalog/kepler-1633_b/,,,,,,,
1939,Kepler-1634,b,1,374.87623900,0.00710700,-0.00710700,0,,,,,,,,,,,,,,,,,0.285,0.046,-0.054,0,,,,,19h36m10.42s,294.043409,+45d08m23.2s,45.139786,654.00,75.11,-51.46,0,14.508,,0,Kepler-band,,,,5474.00,149.64,-144.37,0,0.92,0.05,-0.05,0,0.89,0.10,-0.06,0,2016-05-10,,,,,3.190,0.520,-0.600,0,,,,,0.4720000,0.0110400,-0.0110400,0,2455324.063050,0.009690,-0.009690,0,,,,,http://exoplanet.eu/catalog/kepler-1634_b/,,,,,,,
1940,Kepler-1635,b,1,469.63111000,0.01246000,-0.01246000,0,,,,,,,,,,,,,,,,,0.325,0.029,-0.060,0,,,,,19h01m23.76s,285.348993,+45d33m22.3s,45.556183,1084.00,97.27,-62.41,0,15.696,,0,Kepler-band,,,,5347.00,51.14,-53.97,0,0.89,0.04,-0.04,0,0.85,0.08,-0.04,0,2016-05-10,,,,,3.640,0.330,-0.670,0,,,,,0.5648300,0.0231700,-0.0231700,0,2455255.495400,0.013700,-0.013700,0,,,,,http://exoplanet.eu/catalog/kepler-1635_b/,,,,,,,
1941,Kepler-1636,b,1,425.47785000,0.01122000,-0.01122000,0,,,,,,,,,,,,,,,,,0.288,0.068,-0.031,0,,,,,19h36m13.83s,294.057625,+46d26m27.7s,46.441031,1567.00,361.75,-174.46,0,15.807,,0,Kepler-band,,,,5797.00,171.84,-166.58,0,1.01,0.08,-0.06,0,1.02,0.23,-0.11,0,2016-05-10,,,,,3.230,0.760,-0.350,0,,,,,0.7436700,0.0340800,-0.0340800,0,2454982.064600,0.027200,-0.027200,0,,,,,http://exoplanet.eu/catalog/kepler-1636_b/,,,,,,,
1942,Kepler-1637,b,1,6.10960324,0.00006485,-0.00006485,0,,,,,,,,,,,,,,,,,0.079,0.016,-0.008,0,,,,,18h48m56.84s,282.236848,+48d09m15.5s,48.154297,506.00,101.01,-44.92,0,13.328,,0,Kepler-band,,,,5789.00,79.58,-94.94,0,1.02,0.06,-0.05,0,1.02,0.20,-0.09,0,2016-05-10,,,,,0.890,0.180,-0.090,0,,,,,0.2327100,0.0089600,-0.0089600,0,2454966.809630,0.008630,-0.008630,0,,,,,http://exoplanet.eu/catalog/kepler-1637_b/,,,,,,,
1943,Kepler-1638,b,1,259.33683000,0.01303000,-0.01303000,0,,,,,,,,,,,,,,,,,0.167,0.029,-0.020,0,,,,,19h41m55.78s,295.482407,+48d31m28.0s,48.524445,879.00,149.76,-76.78,0,14.759,,0,Kepler-band,,,,5710.00,96.70,-111.43,0,0.97,0.05,-0.06,0,0.95,0.17,-0.08,0,2016-05-10,,,,,1.870,0.330,-0.220,0,,,,,0.6657900,0.0413800,-0.0413800,0,2454998.690500,0.045400,-0.045400,0,,,,,http://exoplanet.eu/catalog/kepler-1638_b/,,,,,,,
1944,Kepler-1639,b,1,9.87848200,0.00217100,-0.00217100,0,,,,,,,,,,,,,,,,,0.230,0.070,-0.030,0,,,,,18h52m16.47s,283.068632,+48d48m07.5s,48.802086,1168.00,340.29,-141.94,0,14.496,,0,Kepler-band,,,,6150.00,91.49,-82.94,0,1.12,0.11,-0.08,0,1.18,0.34,-0.14,0,2016-05-10,,,,,2.580,0.790,-0.340,0,,,,,0.1283700,0.0136200,-0.0136200,0,2454967.416000,0.181000,-0.181000,0,,,,,http://exoplanet.eu/catalog/kepler-1639_b/,,,,,,,
1945,Kepler-164,b,3,5.03503000,0.00002700,-0.00002700,0,0.058000,,,0,,,,,,,,,,,,,0.126,0.025,-0.025,0,,,,,19h11m07.40s,287.780828,+47d37m47.7s,47.629913,,,,,14.282,,0,Kepler-band,,,,5888.00,113.00,-113.00,0,1.11,,,0,1.15,0.22,-0.22,0,2014-05-14,,,,,1.410,0.280,-0.280,0,,,,,0.0687000,0.0042000,-0.0042000,0,2454965.654650,0.003380,-0.003380,0,,,,,http://exoplanet.eu/catalog/kepler-164_b/,,,,,,,
1946,Kepler-164,c,3,10.94572300,0.00002900,-0.00002900,0,0.097000,,,0,,,,,,,,,,,,,0.244,0.046,-0.046,0,,,,,19h11m07.40s,287.780828,+47d37m47.7s,47.629913,,,,,14.282,,0,Kepler-band,,,,5888.00,113.00,-113.00,0,1.11,,,0,1.15,0.22,-0.22,0,2014-05-14,,,,,2.730,0.520,-0.520,0,,,,,0.1252000,0.0020000,-0.0020000,0,2455009.720460,0.001490,-0.001490,0,,,,,http://exoplanet.eu/catalog/kepler-164_c/,,,,,,,
1947,Kepler-164,d,3,28.98676900,0.00016200,-0.00016200,0,0.187000,,,0,,,,,,,,,,,,,0.219,0.042,-0.042,0,,,,,19h11m07.40s,287.780828,+47d37m47.7s,47.629913,,,,,14.282,,0,Kepler-band,,,,5888.00,113.00,-113.00,0,1.11,,,0,1.15,0.22,-0.22,0,2014-05-14,,,,,2.450,0.470,-0.470,0,,,,,0.1435000,0.0037000,-0.0037000,0,2454967.782680,0.003380,-0.003380,0,,,,,http://exoplanet.eu/catalog/kepler-164_d/,,,,,,,
1948,Kepler-1640,b,1,7.58441260,0.00038660,-0.00038660,0,,,,,,,,,,,,,,,,,0.430,0.221,-0.071,0,,,,,19h38m13.89s,294.557890,+40d51m01.8s,40.850498,1379.00,610.91,-209.88,0,14.624,,0,Kepler-band,,,,6324.00,102.05,-142.31,0,1.27,0.21,-0.10,0,1.43,0.65,-0.21,0,2016-05-10,,,,,4.820,2.480,-0.800,0,,,,,0.1588000,0.0066000,-0.0066000,0,2454970.848600,0.067300,-0.067300,0,,,,,http://exoplanet.eu/catalog/kepler-1640_b/,,,,,,,
1949,Kepler-1641,b,2,19.67226600,0.00111000,-0.00111000,0,,,,,,,,,,,,,,,,,0.277,0.101,-0.052,0,,,,,19h45m26.27s,296.359440,+41d34m28.3s,41.574532,961.00,325.32,-166.05,0,14.263,,0,Kepler-band,,,,6152.00,173.97,-233.57,0,1.12,0.16,-0.12,0,1.19,0.40,-0.19,0,2016-05-10,,,,,3.110,1.130,-0.580,0,,,,,0.1985800,0.0075400,-0.0075400,0,2454967.305600,0.068800,-0.068800,0,,,,,http://exoplanet.eu/catalog/kepler-1641_b/,,,,,,,
1950,Kepler-1641,c,2,32.65721200,0.00309900,-0.00309900,0,,,,,,,,,,,,,,,,,0.263,0.087,-0.044,0,,,,,19h45m26.27s,296.359440,+41d34m28.3s,41.574532,961.00,325.32,-166.05,0,14.263,,0,Kepler-band,,,,6152.00,173.97,-233.57,0,1.12,0.16,-0.12,0,1.19,0.40,-0.19,0,2016-05-10,,,,,2.950,0.980,-0.490,0,,,,,0.2492500,0.0101300,-0.0101300,0,2454985.875000,0.117000,-0.117000,0,,,,,http://exoplanet.eu/catalog/kepler-1641_c/,,,,,,,
1951,Kepler-1642,b,2,12.20575130,0.00051010,-0.00051010,0,,,,,,,,,,,,,,,,,0.285,0.030,-0.022,0,,,,,19h48m50.92s,297.212160,+43d38m37.4s,43.643719,447.00,49.12,-35.29,0,14.130,,0,Kepler-band,,,,5355.00,178.89,-191.86,0,0.88,0.06,-0.05,0,0.84,0.09,-0.06,0,2016-05-10,,,,,3.200,0.340,-0.250,0,,,,,0.1022500,0.0027700,-0.0027700,0,2454967.129600,0.057600,-0.057600,0,,,,,http://exoplanet.eu/catalog/kepler-1642_b/,,,,,,,
1952,Kepler-1642,c,2,6.65138020,0.00032270,-0.00032270,0,,,,,,,,,,,,,,,,,0.237,0.026,-0.019,0,,,,,19h48m50.92s,297.212160,+43d38m37.4s,43.643719,447.00,49.12,-35.29,0,14.130,,0,Kepler-band,,,,5355.00,178.89,-191.86,0,0.88,0.06,-0.05,0,0.84,0.09,-0.06,0,2016-05-10,,,,,2.660,0.290,-0.210,0,,,,,0.0889830,0.0034290,-0.0034290,0,2454968.276200,0.067100,-0.067100,0,,,,,http://exoplanet.eu/catalog/kepler-1642_c/,,,,,,,
1953,Kepler-1643,b,1,5.34264507,0.00002177,-0.00002177,0,,,,,,,,,,,,,,,,,0.205,0.022,-0.013,0,,,,,20h01m43.44s,300.431000,+44d45m03.6s,44.751011,414.00,40.81,-25.58,0,13.116,,0,Kepler-band,,,,5508.00,58.66,-48.80,0,0.92,0.04,-0.05,0,0.88,0.09,-0.05,0,2016-05-10,,,,,2.300,0.250,-0.150,0,,,,,0.1000400,0.0042500,-0.0042500,0,2454967.380360,0.003320,-0.003320,0,,,,,http://exoplanet.eu/catalog/kepler-1643_b/,,,,,,,
1954,Kepler-1644,b,1,21.09077580,0.00011140,-0.00011140,0,,,,,,,,,,,,,,,,,0.168,0.046,-0.014,0,,,,,19h01m54.01s,285.475055,+48d02m05.8s,48.034935,592.00,61.31,-45.49,0,14.223,,0,Kepler-band,,,,5499.00,66.43,-63.10,0,0.89,0.05,-0.05,0,0.86,0.09,-0.06,0,2016-05-10,,,,,1.880,0.520,-0.160,0,,,,,0.1928700,0.0059200,-0.0059200,0,2454966.961970,0.004420,-0.004420,0,,,,,http://exoplanet.eu/catalog/kepler-1644_b/,,,,,,,
1955,Kepler-1645,b,1,16.17795610,0.00010690,-0.00010690,0,,,,,,,,,,,,,,,,,0.159,0.038,-0.018,0,,,,,19h49m55.07s,297.479473,+48d25m06.9s,48.418571,844.00,205.04,-89.78,0,14.472,,0,Kepler-band,,,,5812.00,119.73,-151.42,0,1.02,0.06,-0.06,0,1.02,0.24,-0.10,0,2016-05-10,,,,,1.780,0.430,-0.200,0,,,,,0.2195400,0.0069600,-0.0069600,0,2454965.336290,0.005220,-0.005220,0,,,,,http://exoplanet.eu/catalog/kepler-1645_b/,,,,,,,
1956,Kepler-1646,b,1,4.48558383,0.00001050,-0.00001050,0,,,,,,,,,,,,,,,,,0.110,0.025,-0.021,0,,,,,19h10m06.34s,287.526422,+42d54m46.5s,42.912908,81.00,18.75,-16.91,0,15.737,,0,Kepler-band,,,,3299.00,36.22,-41.07,0,0.24,0.06,-0.06,0,0.26,0.05,-0.05,0,2016-05-10,,,,,1.230,0.280,-0.240,0,,,,,0.0342000,0.0039380,-0.0039380,0,2454968.432210,0.002020,-0.002020,0,,,,,http://exoplanet.eu/catalog/kepler-1646_b/,,,,,,,
1957,Kepler-1647,b,1,1107.59230000,0.02270000,-0.02270000,0,2.720500,0.007000,-0.007000,0,0.058100,0.068900,-0.068900,0,90.097,0.004,-0.004,0,1.51968,0.64815,-0.64815,0,1.059,0.012,-0.012,0,,,,,19h52m36.02s,298.150086,+40d39m22.2s,40.656175,,,,,13.545,,0,Kepler-band,,,,6210.00,100.00,-100.00,0,1.22,0.01,-0.01,0,1.79,0.01,-0.01,0,2016-05-19,1.51968,0.64815,-0.64815,0,11.874,0.138,-0.138,0,,,,,,,,,2454998.497200,0.004900,-0.004900,0,,,,,http://exoplanet.eu/catalog/kepler-1647_%28ab%29_b/,,,,,,,
